uid,gsdb,manufacturer,model,combustor,engine_type,bpr,opr,rated_thrust,data_status,data_superseded,superseded_uid,test_engine,icao_compliant_data,engine_status,engine_status_date,eihc_take_off,eihc_climb,eihc_approach,eihc_idle,hc_number_tests,hc_number_engines,hc_dp_foo_average,hc_dp_foo_sigma,hc_dp_foo_min,hc_dp_foo_max,hc_characteristic,hc_margin,hc_total_mass,eico_take_off,eico_climb,eico_approach,eico_idle,eico_number_tests,eico_number_engines,co_dp_foo_average,co_dp_foo_sigma,co_dp_foo_min,co_dp_foo_max,co_characteristic,co_margin,co_total_mass,einox_take_off,einox_climb,einox_approach,einox_idle,nox_number_tests,nox_number_engines,nox_dp_foo_average,nox_dp_foo_sigma,nox_dp_foo_min,nox_dp_foo_max,nox_characteristic,nox_original_margin,nox_caep2_margin,nox_caep4_margin,nox_caep6_margin,nox_caep8_margin,nox_total_mass,sn_take_off,sn_climb,sn_approach,sn_idle,sn_number_tests,sn_number_engines,sn_max,sn_sigma,sn_range_min,sn_range_max,sn_characteristic,sn_margin,fuel_specification,fuel_hc_ratio_min,fuel_hc_ratio_max,fuel_aromatic_min,fuel_aromatic_max,fuel_flow_take_off,fuel_flow_climb,fuel_flow_approach,Fuel Flow Idle (kg/sec),fuel_lto_cycle,loads_extraction,loads_extraction_power_setting,bleed_percentage,bleed_percentage_power_setting,Ambient Baro Min (kPa),Ambient Baro Max (kPa),ambiant_temperature_min,ambiant_temperature_max,ambiant_humidity_min,ambiant_humidity_max,test_organization,test_location,initial_test_date,Final Test Date,fuel_venting_compliant,Remark 1,Remark 2,Remark 3,Remark 4,Remark 5,Remark 6,Remark 7,Remark 8,engine,thrust_take_off,thrust_climb,thrust_approach,thrust_idle
3CM029,3.0,CFM International,CFM56-7B18,,TF,5.5,21.59,86.74,C,,,NME,Yes,Out of production,,0.1,0.1,0.1,3.5,3.0,1.0,6.32,,,,9.7,49.5,549.0,0.6,0.4,3.6,28.3,3.0,1.0,52.45,,,,64.4,54.6,4566.0,19.2,16.6,9.1,4.3,3.0,1.0,39.99,,,,46.4,55.8,69.7,85.8,97.0,118.4,3472.0,10.7,6.4,0.0,0.0,3.0,1.0,10.7,,,,13.8,56.1,Jet A,1.86,1.97,16.9,17.7,0.854,0.714,0.26,0.097,344.0,0.0,,0,,97.8,98.0,294.0,297.0,0.01,0.0157,CFM56-7B Eval Engineering,"Peebles Test Operation (PTO), Peebles, Ohio",1996-07-01,,,"FAA Certification Report CR-997, Dec 96.",Engine S/N 874-101/01,,,,,,,CFM56-7B SAC,86.74,73.729,26.022,6.0718000000000005
8CM061,8.0,CFM International,CFM56-7B18/3,Tech Insertion,TF,5.5,21.4,86.7,C,,,NME,Yes,Out of production,,0.03,0.03,0.08,4.51,7.0,3.0,7.56,0.72,6.74,7.99,8.82,45.0,656.0,0.17,0.28,5.54,46.64,7.0,3.0,81.34,3.3,77.6,83.5,88.0,74.6,7055.0,14.81,13.0,7.78,3.65,7.0,3.0,31.46,1.1,30.4,32.5,33.3,40.2,50.3,62.0,70.0,85.5,2729.0,8.0,6.6,2.1,2.1,7.0,3.0,8.04,1.4,6.8,9.6,8.84,35.9,Jet A,1.92,1.93,16.2,17.5,0.842,0.702,0.256,0.092,333.0,0.0,All,0,All,97.6,98.5,277.0,293.0,0.0015,0.00628,General Electric Company,"Peebles Test Operation (PTO), Peebles, Ohio",2005-09-29,2006-03-23,Yes,Ref. GE REPORT CR-2097/3 Rev1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01",Data also apply to CFM56-7B18/3,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,CFM56-7B Tech Insertion,86.7,73.69500000000001,26.01,6.069000000000001
3CM030,3.0,CFM International,CFM56-7B20,,TF,5.4,22.61,91.63,C,,,NME,Yes,Out of production,,0.1,0.1,0.1,3.1,3.0,1.0,5.44,,,,8.4,42.9,504.0,0.6,0.5,3.2,25.9,3.0,1.0,47.21,,,,58.0,49.2,4324.0,20.5,17.4,9.5,4.3,3.0,1.0,41.83,,,,48.5,56.9,71.1,87.9,99.9,122.1,3829.0,11.4,8.0,0.0,0.0,3.0,1.0,11.4,,,,14.7,60.6,Jet A,1.86,1.97,16.9,17.7,0.913,0.761,0.274,0.1,361.0,0.0,,0,,97.8,98.0,294.0,297.0,0.01,0.0157,CFM56-7B Eval Engineering,"Peebles Test Operation (PTO), Peebles, Ohio",1996-07-01,,,"FAA Certification Report CR-997, Dec 96.",Engine S/N 874-101/01,,,,,,,CFM56-7B SAC,91.63,77.8855,27.488999999999997,6.4141
4CM039,4.0,CFM International,CFM56-7B20/2,,TF,5.4,22.77,91.63,C,,,NME,Yes,Out of production,,0.07,0.23,0.36,8.11,3.0,3.0,14.61,,13.8,15.9,17.0,86.9,1340.0,4.26,11.38,11.37,49.71,3.0,3.0,108.63,,102.1,114.9,117.5,99.6,9963.0,13.25,10.81,9.39,3.75,3.0,3.0,30.58,,30.4,30.8,32.4,37.9,47.3,58.4,66.4,81.1,2802.0,0.7,0.7,1.5,0.7,3.0,3.0,1.52,,0.0,3.4,1.7,6.9,Jet A,1.93,1.94,18.0,19.2,0.903,0.754,0.278,0.102,363.0,0.0,,0,,97.9,98.0,292.8,296.7,0.00814,0.0131,CFM56-7B Eval Engineering,"Peebles Test Operation (PTO), Peebles, Ohio",1997-08-30,1997-09-12,,"FAA Certification Report CR-997/2, 14 Nov 97","Engine S/N 874-136/01, 874-141/01, 874-146/01",,,,,,,CFM56-7B DAC,91.63,77.8855,27.488999999999997,6.4141
8CM062,8.0,CFM International,CFM56-7B20/3,Tech Insertion,TF,5.5,22.4,91.6,C,,,NME,Yes,Out of production,,0.03,0.03,0.08,3.84,7.0,3.0,6.26,0.63,5.55,6.69,7.31,37.3,574.0,0.15,0.23,5.03,43.31,7.0,3.0,73.44,3.2,69.8,75.3,79.4,67.3,6729.0,15.61,13.53,7.98,3.77,7.0,3.0,32.59,1.1,31.5,33.7,34.5,40.7,50.9,62.9,71.5,87.5,2987.0,8.7,6.8,2.1,2.1,7.0,3.0,8.66,2.2,7.1,11.1,9.52,39.3,Jet A,1.92,1.93,16.2,17.5,0.896,0.746,0.268,0.094,348.0,0.0,All,0,All,97.6,98.5,277.0,293.0,0.0015,0.00628,General Electric Company,"PTO, Ohio",2005-09-29,2006-03-23,Yes,Ref. GE REPORT CR-2097/3 Rev1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01",Data also apply to CFM56-7B20/3,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,CFM56-7B Tech Insertion,91.6,77.86,27.479999999999997,6.412
3CM031,3.0,CFM International,CFM56-7B22,,TF,5.3,24.41,100.97,C,,,NME,Yes,Out of production,,0.1,0.1,0.1,2.5,3.0,1.0,4.22,,,,6.4,32.7,432.0,0.5,0.6,2.5,22.8,3.0,1.0,39.58,,,,48.6,41.2,4002.0,23.1,19.0,10.0,4.5,3.0,1.0,45.16,,,,52.4,59.0,73.7,90.3,102.6,124.0,4560.0,12.0,10.5,0.0,0.0,3.0,1.0,12.0,,,,15.4,65.2,Jet A,1.86,1.97,16.9,17.7,1.021,0.844,0.298,0.105,390.0,0.0,,0,,97.8,98.0,294.0,297.0,0.01,0.0157,CFM56-7B Eval Engineering,"Peebles Test Operation (PTO), Peebles, Ohio",1996-07-01,,,"FAA Certification Report CR-997, Dec 96.",Engine S/N 874-101/01,,,,,,,CFM56-7B SAC,100.97,85.8245,30.290999999999997,7.067900000000001
4CM040,4.0,CFM International,CFM56-7B22/2,,TF,5.3,24.61,100.97,C,,,NME,Yes,Out of production,,0.06,0.1,6.06,7.26,3.0,3.0,16.31,,14.6,18.2,19.0,97.1,1643.0,2.18,6.58,30.87,45.35,3.0,3.0,104.18,,96.9,111.7,112.7,95.5,10492.0,15.08,12.16,6.37,3.94,3.0,3.0,30.63,,30.4,30.9,32.4,36.4,45.4,55.6,63.1,76.2,3091.0,0.7,0.7,0.7,0.7,3.0,3.0,0.69,,0.1,1.8,0.8,3.2,Jet A,1.93,1.94,18.0,19.2,1.008,0.837,0.303,0.105,389.0,0.0,,0,,97.9,98.0,292.8,296.7,0.00814,0.0131,CFM56-7B Eval Engineering,"Peebles Test Operation (PTO), Peebles, Ohio",1997-08-30,1997-09-12,,"FAA Certification Report CR-997/2, 14 Nov 97","Engine S/N 874-136/01, 874-141/01, 874-146/01",,,,,,,CFM56-7B DAC,100.97,85.8245,30.290999999999997,7.067900000000001
8CM063,8.0,CFM International,CFM56-7B22/3,Tech Insertion,TF,5.3,24.2,101.0,C,,,NME,Yes,Out of production,,0.02,0.03,0.07,2.83,7.0,3.0,4.43,0.51,3.85,4.83,5.16,26.3,447.0,0.16,0.17,4.18,37.9,7.0,3.0,61.19,3.3,57.8,64.1,66.2,56.1,6179.0,17.4,14.67,8.35,3.95,7.0,3.0,35.06,1.2,34.0,36.3,37.1,42.0,52.5,64.3,73.0,88.4,3540.0,9.8,8.0,2.1,2.1,7.0,3.0,9.84,2.3,8.0,12.4,10.83,45.9,Jet A,1.92,1.93,16.2,17.5,1.004,0.832,0.291,0.099,377.0,0.0,All,0,All,97.6,98.5,277.0,293.0,0.0015,0.00628,General Electric Company,"PTO, Ohio",2005-09-29,2006-03-23,Yes,Ref. GE REPORT CR-2097/3 Rev1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Data also apply to models CFM56-7B22/3, -7B22/3B1, and -7B22/3B2","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,CFM56-7B Tech Insertion,101.0,85.85,30.299999999999997,7.07
3CM032,3.0,CFM International,CFM56-7B24,,TF,5.2,25.78,107.65,C,,,NME,Yes,Out of production,,0.1,0.1,0.1,2.4,3.0,1.0,3.91,,,,6.0,30.6,432.0,0.4,0.6,2.2,22.0,3.0,1.0,37.11,,,,45.6,38.6,3998.0,25.3,20.5,10.1,4.4,3.0,1.0,47.83,,,,55.4,60.5,75.6,92.0,104.5,125.4,5149.0,12.6,11.4,0.0,0.0,3.0,1.0,12.6,,,,16.2,69.8,Jet A,1.86,1.97,16.9,17.7,1.103,0.91,0.316,0.109,412.0,0.0,,0,,97.8,98.0,294.0,297.0,0.01,0.0157,CFM56-7B Eval Engineering,"Peebles Test Operation (PTO), Peebles, Ohio",1996-07-01,,,"FAA Certification Report CR-997, Dec 96.",Engine S/N 874-101/01,,,,,,,CFM56-7B SAC,107.65,91.5025,32.295,7.535500000000001
4CM041,4.0,CFM International,CFM56-7B24/2,,TF,5.2,25.95,107.65,C,,,NME,Yes,Out of production,,0.05,0.07,6.01,6.55,3.0,3.0,14.66,,13.4,15.9,17.1,87.2,1576.0,1.38,4.3,30.32,42.72,3.0,3.0,94.03,,88.4,100.0,101.7,86.2,10117.0,16.63,13.23,6.72,4.08,3.0,3.0,32.86,,32.7,33.2,34.8,37.9,47.3,57.5,65.4,78.4,3534.0,0.7,0.7,0.7,0.7,3.0,3.0,0.65,,0.2,1.5,0.7,3.1,Jet A,1.93,1.94,18.0,19.2,1.089,0.902,0.313,0.109,410.0,0.0,,0,,97.9,98.0,292.8,296.7,0.00814,0.0131,CFM56-7B Eval Engineering,"Peebles Test Operation (PTO), Peebles, Ohio",1997-08-30,1997-09-12,,"FAA Certification Report CR-997/2, 14 Nov 97","Engine S/N 874-136/01, 874-141/01, 874-146/01",,,,,,,CFM56-7B DAC,107.65,91.5025,32.295,7.535500000000001
8CM064,8.0,CFM International,CFM56-7B24/3,Tech Insertion,TF,5.3,25.6,107.6,C,,,NME,Yes,Out of production,,0.02,0.03,0.06,2.3,7.0,3.0,3.51,0.45,3.01,3.88,4.09,20.9,377.0,0.18,0.15,3.68,34.71,7.0,3.0,54.38,2.8,51.2,56.4,58.8,49.8,5854.0,18.93,15.6,8.6,4.09,7.0,3.0,37.11,1.2,36.1,38.5,39.3,43.1,53.9,65.5,74.5,89.5,3995.0,12.1,8.7,2.1,2.1,7.0,3.0,12.07,3.4,8.3,14.7,13.28,57.2,Jet A,1.92,1.93,16.2,17.5,1.086,0.895,0.308,0.103,398.0,0.0,All,0,All,97.6,98.5,277.0,293.0,0.0015,0.00628,General Electric Company,"PTO, Ohio",2005-09-29,2006-03-23,Yes,Ref. GE REPORT CR-2097/3 Rev1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01",Data also apply to models CFM56-7B24/3 and -7B24/3B1,"Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,CFM56-7B Tech Insertion,107.6,91.46,32.279999999999994,7.532
3CM033,3.0,CFM International,CFM56-7B26,,TF,5.1,27.61,116.99,C,Yes,8CM051,NME,Yes,Out of production,,0.1,0.1,0.1,1.9,3.0,1.0,3.06,,,,4.7,24.0,361.0,0.2,0.6,1.6,18.8,3.0,1.0,30.33,,,,37.2,31.5,3533.0,28.8,22.5,10.8,4.7,3.0,1.0,52.64,,,,62.2,65.3,81.7,96.6,111.9,133.0,6149.0,14.7,11.9,0.0,0.0,3.0,1.0,14.7,,,,18.9,83.4,Jet A,1.86,1.97,16.9,17.7,1.221,0.999,0.338,0.113,441.0,0.0,,0,,97.8,98.0,294.0,297.0,0.01,0.0157,CFM56-7B Eval Engineering,"Peebles Test Operation (PTO), Peebles, Ohio",1996-07-01,,,"FAA Certification Report CR-997, Dec 96.",Engine S/N 874-101/01,,,,,,,CFM56-7B SAC,116.99,99.44149999999999,35.096999999999994,8.189300000000001
8CM051,8.0,CFM International,CFM56-7B26,,TF,5.1,27.61,116.99,C,,,NME,Yes,Out of production,,0.1,0.1,0.1,1.9,3.0,1.0,3.06,,,,4.7,24.0,361.0,0.2,0.6,1.6,18.8,3.0,1.0,30.33,,,,37.2,31.5,3533.0,28.8,22.5,10.8,4.7,3.0,1.0,52.64,,,,61.0,64.0,80.1,96.6,109.7,130.5,6149.0,14.7,11.9,0.0,0.0,3.0,1.0,14.7,,,,18.9,83.4,Jet A,1.86,1.97,16.9,17.7,1.221,0.999,0.338,0.113,441.0,0.0,,0,,97.8,98.0,294.0,297.0,0.01,0.0157,CFM56-7B Eval Engineering,"Peebles Test Operation (PTO), Peebles, Ohio",1996-07-01,,,"FAA Certification Report CR-997, Dec 96.",Engine S/N 874-101/01,Characteristic Dp/Foo NOx incorrectly entered originally [3CM033],"Issue 15; Dp/Foo NOx corrected from 63.2 to 61.0 and % of standards to 64.0, 80.1 & 96.6",,,,,CFM56-7B SAC,116.99,99.44149999999999,35.096999999999994,8.189300000000001
4CM042,4.0,CFM International,CFM56-7B26/2,,TF,5.1,27.8,116.99,C,,,NME,Yes,Out of production,,0.03,0.06,4.73,5.88,3.0,3.0,12.21,,11.1,13.4,14.2,72.7,1425.0,0.77,2.51,26.07,39.93,3.0,3.0,81.39,,77.1,85.9,88.0,74.6,9495.0,19.2,14.77,7.26,4.27,3.0,3.0,36.24,,36.0,36.8,38.4,40.2,50.2,60.5,68.7,81.7,4233.0,0.7,0.7,0.7,0.7,3.0,3.0,0.71,,0.3,1.6,0.7,3.1,Jet A,1.93,1.94,18.0,19.2,1.203,0.989,0.334,0.113,438.0,0.0,,0,,97.9,98.0,292.8,296.7,0.00814,0.0131,CFM56-7B Eval Engineering,"Peebles Test Operation (PTO), Peebles, Ohio",1997-08-30,1997-09-12,,"FAA Certification Report CR-997/2, 14 Nov 97","Engine S/N 874-136/01, 874-141/01, 874-146/01",,,,,,,CFM56-7B DAC,116.99,99.44149999999999,35.096999999999994,8.189300000000001
8CM065,8.0,CFM International,CFM56-7B26/3,Tech Insertion,TF,5.1,27.7,117.0,C,,,NME,Yes,Out of production,,0.02,0.02,0.05,1.75,7.0,3.0,2.58,0.37,2.18,2.91,3.01,15.4,302.0,0.25,0.16,3.07,30.94,7.0,3.0,46.81,2.6,43.8,48.7,50.6,42.9,5476.0,21.79,17.08,8.93,4.27,7.0,3.0,40.71,1.2,39.8,42.1,43.1,45.2,56.5,68.1,77.3,91.9,4763.0,13.1,9.8,2.1,2.1,7.0,3.0,13.07,4.1,8.4,16.2,14.37,63.4,Jet A,1.92,1.93,16.2,17.5,1.213,0.986,0.331,0.108,429.0,0.0,All,0,All,97.6,98.5,277.0,293.0,0.0015,0.00628,General Electric Company,"PTO, Ohio",2005-09-29,2006-03-23,Yes,Ref. GE REPORT CR-2097/3 Rev1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Data also apply to models CFM56-7B26/3, -7B26/3B1, -7B26/3B2, -7B26/3F and –7B26/3B2F","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,CFM56-7B Tech Insertion,117.0,99.45,35.1,8.190000000000001
01P22FC001,22.0,CFM International,CFM56-7B26/3 (Research Measurement),Tech Insertion,TF,5.1,27.7,117.0,PR,,,Other,Yes,Out of production,,0.0,0.0,0.01,1.59,3.0,1.0,2.3,,,,3.54,18.0,269.0,0.53,0.54,2.79,27.46,3.0,1.0,42.27,,,,51.88,44.0,4945.0,22.9,17.68,9.37,4.22,3.0,1.0,42.08,,,,48.77,51.1,63.9,77.0,87.5,104.0,4923.0,,,,,,,,,,,,,Jet A,1.935,1.935,17.7,17.7,1.213,0.986,0.331,0.108,429.0,0.0,All,0,All,96.61,96.87,294.7,302.9,0.0725,0.01011,Empa,"SR Technics, Zurich, Switzerland",2013-08-17,2013-08-18,Yes,Engine S/N 897-397,"Report ""Non-volatile Particulate Matter Emissions Certification of a CFM56-7B26/3"" May 2020","NOx, HC, CO Emissions are research data as part of world's first nvPM certification-like test","Provided by Swiss Federal Office of Civil Aviation, Switzerland",,,,,CFM56-7B Enhanced - Research Measurement,117.0,99.45,35.1,8.190000000000001
3CM034,3.0,CFM International,CFM56-7B27,,TF,5.0,28.63,121.44,C,,,NME,Yes,Out of production,,0.1,0.1,0.1,1.7,3.0,1.0,2.76,,,,4.3,21.9,335.0,0.2,0.5,1.4,17.9,3.0,1.0,28.3,,,,34.7,29.4,3436.0,30.9,23.7,11.0,4.8,3.0,1.0,55.27,,,,64.1,65.9,82.4,98.9,112.4,133.0,6719.0,15.7,12.1,0.0,0.0,3.0,1.0,15.7,,,,20.2,90.0,Jet A,1.86,1.97,16.9,17.7,1.284,1.043,0.349,0.116,456.0,0.0,,0,,97.8,98.0,294.0,297.0,0.01,0.0157,CFM56-7B Eval Engineering,"Peebles Test Operation (PTO), Peebles, Ohio",1996-07-01,,,"FAA Certification Report CR-997, Dec 96.",Engine S/N 874-101/01,,,,,,,CFM56-7B SAC,121.44,103.22399999999999,36.431999999999995,8.5008
4CM043,4.0,CFM International,CFM56-7B27/2,,TF,5.0,28.84,121.44,C,,,NME,Yes,Out of production,,0.05,0.06,4.21,5.56,3.0,3.0,11.21,,10.1,12.3,13.1,66.7,1363.0,0.54,1.97,24.28,38.73,3.0,3.0,76.46,,72.7,80.4,82.7,70.1,9291.0,20.81,15.59,7.53,4.36,3.0,3.0,38.23,,37.9,38.8,40.5,41.5,51.8,62.2,70.6,83.5,4648.0,0.8,0.7,0.7,0.7,3.0,3.0,0.75,,0.3,1.6,0.8,3.7,Jet A,1.93,1.94,18.0,19.2,1.265,1.033,0.351,0.115,453.0,0.0,,0,,97.9,98.0,292.8,296.7,0.00814,0.0131,CFM56-7B Eval Engineering,"Peebles Test Operation (PTO), Peebles, Ohio",1997-08-30,1997-09-12,,"FAA Certification Report CR-997/2, 14 Nov 97","Engine S/N 874-136/01, 874-141/01, 874-146/01",,,,,,,CFM56-7B DAC,121.44,103.22399999999999,36.431999999999995,8.5008
8CM066,8.0,CFM International,CFM56-7B27/3,Tech Insertion,TF,5.1,29.0,121.4,C,,,NME,Yes,Out of production,,0.03,0.02,0.05,1.54,7.0,3.0,2.25,0.35,1.88,2.56,2.62,13.4,273.0,0.31,0.17,2.82,29.39,7.0,3.0,43.8,2.5,41.0,45.6,47.4,40.2,5320.0,23.94,17.89,9.09,4.36,7.0,3.0,43.09,1.1,42.4,44.4,45.6,46.5,58.2,69.7,79.2,93.6,5232.0,13.4,11.2,2.1,2.1,7.0,3.0,13.38,4.5,8.4,16.9,14.72,65.6,Jet A,1.92,1.93,16.2,17.5,1.293,1.031,0.343,0.11,444.0,0.0,All,0,All,97.6,98.5,277.0,293.0,0.0015,0.00628,General Electric Company,"PTO, Ohio",2005-09-29,2006-03-23,Yes,Ref. GE REPORT CR-2097/3 Rev1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Data also apply to models CFM56-7B27/3, -7B27/3B1, -7B27/3B3, -7B27A/3, -7B27/3F, and -7B27/3B1F","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,CFM56-7B Tech Insertion,121.4,103.19,36.42,8.498000000000001
01P11CM111,11.0,CFM International,CFM56-7B20E,Tech Insertion,TF,5.5,22.4,91.6,C,,,NME/DTEPS,Yes,,,0.03,0.03,0.08,3.84,7.0,3.0,6.26,0.63,5.55,6.69,7.31,37.3,572.0,0.15,0.23,5.03,43.31,7.0,3.0,73.44,3.2,69.8,75.3,79.4,67.3,6729.0,15.61,13.5,8.0,3.8,7.0,3.0,32.59,1.1,31.5,33.7,34.5,40.7,50.9,62.9,71.5,87.5,2987.0,8.7,6.8,2.1,2.1,7.0,3.0,8.66,2.2,7.1,11.1,9.52,39.3,Jet A,1.92,1.93,16.2,17.5,0.896,0.746,0.268,0.094,348.0,0.0,All,0,All,97.6,98.5,277.0,293.0,0.0015,0.00628,General Electric Company,"PTO, Ohio",2005-09-29,2006-03-23,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,CFM56-7B Enhanced,91.6,77.86,27.479999999999997,6.412
01P11CM112,11.0,CFM International,CFM56-7B22E,Tech Insertion,TF,5.3,24.2,101.0,C,,,NME/DTEPS,Yes,,,0.02,0.03,0.07,2.83,7.0,3.0,4.43,0.51,3.85,4.83,5.16,26.3,446.0,0.16,0.17,4.18,37.9,7.0,3.0,61.19,3.3,57.8,64.1,66.2,56.1,6179.0,17.4,14.67,8.35,3.95,7.0,3.0,35.06,1.2,34.0,36.3,37.1,42.0,52.5,64.3,73.0,88.4,3538.0,9.8,8.0,2.1,2.1,7.0,3.0,9.84,2.3,8.0,12.4,10.83,45.9,Jet A,1.92,1.93,16.2,17.5,1.004,0.832,0.291,0.099,376.0,0.0,All,0,All,97.6,98.5,277.0,293.0,0.0015,0.00628,General Electric Company,"PTO, Ohio",2005-09-29,2006-03-23,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,CFM56-7B Enhanced,101.0,85.85,30.299999999999997,7.07
01P11CM114,11.0,CFM International,CFM56-7B24E,Tech Insertion,TF,5.3,25.6,107.6,C,,,NME/DTEPS,Yes,,,0.02,0.03,0.06,2.3,7.0,3.0,3.51,0.45,3.01,3.88,4.09,20.9,377.0,0.18,0.15,3.68,34.71,7.0,3.0,54.38,2.8,51.2,56.4,58.8,49.8,5854.0,18.93,15.6,8.6,4.09,7.0,3.0,37.11,1.2,36.1,38.5,39.3,43.1,53.9,65.5,74.5,89.5,3996.0,12.1,8.7,2.1,2.1,7.0,3.0,12.07,3.4,8.3,14.7,13.28,57.2,Jet A,1.92,1.93,16.2,17.5,1.086,0.895,0.308,0.103,398.0,0.0,All,0,All,97.6,98.5,277.0,293.0,0.0015,0.00628,General Electric Company,"PTO, Ohio",2005-09-29,2006-03-23,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,CFM56-7B Enhanced,107.6,91.46,32.279999999999994,7.532
01P11CM116,11.0,CFM International,CFM56-7B26E,Tech Insertion,TF,5.1,27.7,117.0,C,,,NME/DTEPS,Yes,,,0.02,0.02,0.05,1.75,7.0,3.0,2.58,0.37,2.18,2.91,3.01,15.4,302.0,0.2,0.16,3.07,30.94,7.0,3.0,46.81,2.6,43.8,48.7,50.6,42.9,5476.0,21.79,17.08,8.93,4.27,7.0,3.0,40.71,1.2,39.8,42.1,43.1,45.2,56.5,68.1,77.3,91.9,4762.0,13.1,9.8,2.1,2.1,7.0,3.0,13.07,4.1,8.4,16.2,14.37,63.4,Jet A,1.92,1.93,16.2,17.5,1.213,0.986,0.331,0.108,429.0,0.0,All,0,All,97.6,98.5,277.0,293.0,0.0015,0.00628,General Electric Company,"PTO, Ohio",2005-09-29,2006-03-23,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,CFM56-7B Enhanced,117.0,99.45,35.1,8.190000000000001
01P11CM121,11.0,CFM International,CFM56-7B27E,Tech Insertion,TF,5.1,29.0,121.4,C,,,NME/DTEPS,Yes,,,0.03,0.02,0.05,1.54,7.0,3.0,2.25,0.35,1.88,2.56,2.62,13.4,273.0,0.31,0.17,2.82,29.39,7.0,3.0,43.8,2.5,41.0,45.6,47.4,40.2,5320.0,23.94,17.89,9.09,4.36,7.0,3.0,43.09,1.1,42.4,44.4,45.6,46.5,58.2,69.7,79.2,93.6,5231.0,13.4,11.2,2.1,2.1,7.0,3.0,13.38,4.5,8.4,16.9,14.72,65.6,Jet A,1.92,1.93,16.2,17.5,1.293,1.031,0.343,0.11,444.0,0.0,All,0,All,97.6,98.5,277.0,293.0,0.0015,0.00628,General Electric Company,"PTO, Ohio",2005-09-29,2006-03-23,Yes,Ref. GE REPORT CR-2097/3 Rev. 1,"Engine S/N 874-026/01, 778-024/01B, and 892-769/01","Ref. GE REPORT CR-900E Rev. 2, July 19, 2010","Certification in accordance with Part III, Chapter 2, of Amendment 7 of ICAO Annex 16 Vol. II.","NOx levels in accordance with Part III, Chapter 2, 2.3.2 e) (CAEP/8)",,,,CFM56-7B Enhanced,121.4,103.19,36.42,8.498000000000001
