uid,gsdb,manufacturer,engine,model,combustor,engine_type,bpr,opr,rated_thrust,data_status,data_superseded,superseded_uid,test_engine,icao_compliant_data,engine_status,engine_status_date,hc_number_tests,hc_number_engines,hc_dp_foo_average,hc_dp_foo_sigma,hc_dp_foo_min,hc_dp_foo_max,hc_characteristic,hc_margin,hc_total_mass,eico_number_tests,eico_number_engines,co_dp_foo_average,co_dp_foo_sigma,co_dp_foo_min,co_dp_foo_max,co_characteristic,co_margin,co_total_mass,nox_number_tests,nox_number_engines,nox_dp_foo_average,nox_dp_foo_sigma,nox_dp_foo_min,nox_dp_foo_max,nox_characteristic,nox_total_mass,nox_original_margin,nox_caep2_margin,nox_caep4_margin,nox_caep6_margin,nox_caep8_margin,sn_number_tests,sn_number_engines,sn_max,sn_sigma,sn_range_min,sn_range_max,sn_characteristic,sn_margin,fuel_specification,fuel_hc_ratio_min,fuel_hc_ratio_max,fuel_aromatic_min,fuel_aromatic_max,fuel_lto_cycle,loads_extraction,loads_extraction_power_setting,bleed_percentage,bleed_percentage_power_setting,ambient_pressure_min,ambient_pressure_max,ambient_temperature_min,ambient_temperature_max,ambient_humidity_min,ambient_humidity_max,test_organization,test_location,initial_test_date,final_test_date,fuel_venting_compliant
11GE143,11,General Electric Company,CF34-10E Block-2 Alternate Injector,CF34-10E6,2253M21-PFN,TF,5.09,25.5,77.4,C,,,DTEPS,Yes,Out of production,,3.0,1.0,8.66,0.79,8.1,9.6,13.34,68.1,670.0,3.0,1.0,83.2,2.8,80.4,86.1,102.2,86.6,6439.0,3.0,1.0,35.6,0.25,35.4,35.9,41.3,2757.0,45.4,56.7,66.4,73.0,85.1,3.0,1.0,9.4,1.32,8.6,10.9,12.1,47.7,Jet A-1,1.92,1.92,15.9,17.5,306.0,0.0,All,0,All,97.2,97.9,292.0,298.0,0.0053,0.0078,Peebles Test Operation,Site 3C,2009-06-05,2009-06-06,Yes
8GE116,8,General Electric Company,CF34-10E Block-1,CF34-10E6,SAC,TF,5.09,25.6,77.4,C,,,DTEPS,Yes,Out of production,2007,3.0,1.0,8.94,,8.4,9.3,13.77,70.2,692.0,3.0,1.0,87.89,,84.9,89.7,107.9,91.4,6798.0,3.0,1.0,37.11,,36.6,37.7,43.0,2871.0,47.2,59.0,69.0,76.1,88.4,3.0,1.0,4.52,,3.7,5.6,5.82,22.9,Jet A-1,1.92,1.93,18.1,19.3,307.0,0.0,All,0,All,98.4,98.6,294.0,295.0,0.00922,0.01192,Peebles Test Operation,Site 4D,2004-07-24,2004-07-25,Yes
10GE132,10,General Electric Company,CF34-10E Block-2,CF34-10E6A1,2253M21,TF,5.09,27.3,83.7,C,,,DTEPS,Yes,Out of production,,3.0,1.0,8.24,0.51,7.7,8.6,12.7,64.8,690.0,3.0,1.0,74.9,1.8,73.7,77.0,92.0,77.97,6273.0,3.0,1.0,39.8,0.44,39.3,40.1,46.1,3328.0,48.73,60.91,72.28,81.01,95.1,3.0,1.0,16.0,0.14,15.9,16.2,20.6,82.89,Jet A-1,1.92,1.92,16.3,17.4,323.0,0.0,All,0,All,97.2,97.9,296.0,300.0,0.0099,0.0127,Peebles Test Operation,Site 4D,2006-09-05,2006-09-10,Yes
11GE145,11,General Electric Company,CF34-10E Block-2 Alternate Injector,CF34-10E6A1,2253M21-PFN,TF,5.09,27.2,83.7,C,,,DTEPS,Yes,Out of production,,3.0,1.0,6.79,0.68,6.3,7.6,10.46,53.4,568.0,3.0,1.0,72.5,2.5,70.0,75.0,88.9,75.3,6067.0,3.0,1.0,38.4,0.24,38.2,38.7,44.5,3214.0,47.1,58.9,69.9,78.0,92.0,3.0,1.0,12.7,1.51,11.6,14.4,16.4,66.0,Jet A-1,1.92,1.92,15.9,17.5,326.0,0.0,All,0,All,97.2,97.9,292.0,298.0,0.0053,0.0078,Peebles Test Operation,Site 3C,2009-06-05,2009-06-06,Yes
8GE118,8,General Electric Company,CF34-10E Block-1,CF34-10E6A1,SAC,TF,5.09,27.3,83.7,C,,,DTEPS,Yes,Out of production,2007,3.0,1.0,7.18,1.1,6.8,7.5,11.05,56.4,601.0,3.0,1.0,76.81,5.1,74.4,78.4,94.3,79.9,6430.0,3.0,1.0,39.91,1.5,39.3,40.5,46.3,3341.0,48.9,61.1,72.5,81.3,95.5,3.0,1.0,7.01,1.2,6.0,8.0,9.03,36.3,Jet A-1,1.92,1.93,18.1,19.3,328.0,0.0,All,0,All,98.4,98.6,294.0,295.0,0.00922,0.01192,Peebles Test Operation,Site 4D,2004-07-24,2004-07-25,Yes
10GE133,10,General Electric Company,CF34-10E Block-2,CF34-10E7,2253M21,TF,5.09,27.3,83.7,C,,,DTEPS,Yes,Out of production,,3.0,1.0,8.24,0.51,7.7,8.6,12.7,64.8,690.0,3.0,1.0,74.9,1.8,73.7,77.0,92.0,77.97,6273.0,3.0,1.0,39.8,0.44,39.3,40.1,46.1,3328.0,48.73,60.91,72.28,81.01,95.1,3.0,1.0,16.0,0.14,15.9,16.2,20.6,82.89,Jet A-1,1.92,1.92,16.3,17.4,323.0,0.0,All,0,All,97.2,97.9,296.0,300.0,0.0099,0.0127,Peebles Test Operation,Site 4D,2006-09-05,2006-09-10,Yes
11GE146,11,General Electric Company,CF34-10E Block-2 Alternate Injector,CF34-10E7,2253M21-PFN,TF,5.09,27.2,83.7,C,,,DTEPS,Yes,Out of production,,3.0,1.0,6.79,0.68,6.3,7.6,10.46,53.4,568.0,3.0,1.0,72.5,2.5,70.0,75.0,88.9,75.3,6067.0,3.0,1.0,38.4,0.24,38.2,38.7,44.5,3214.0,47.1,58.9,69.9,78.0,92.0,3.0,1.0,12.7,1.51,11.6,14.4,16.4,66.0,Jet A-1,1.92,1.92,15.9,17.5,326.0,0.0,All,0,All,97.2,97.9,292.0,298.0,0.0053,0.0078,Peebles Test Operation,Site 3C,2009-06-05,2009-06-06,Yes
8GE119,8,General Electric Company,CF34-10E Block-1,CF34-10E7,SAC,TF,5.09,27.3,83.7,C,,,DTEPS,Yes,Out of production,2007,3.0,1.0,7.18,1.1,6.8,7.5,11.05,56.4,601.0,3.0,1.0,76.81,5.1,74.4,78.4,94.3,79.9,6430.0,3.0,1.0,39.91,1.5,39.3,40.5,46.3,3341.0,48.9,61.1,72.5,81.3,95.5,3.0,1.0,7.01,1.2,6.0,8.0,9.03,36.3,Jet A-1,1.92,1.93,18.1,19.3,328.0,0.0,All,0,All,98.4,98.6,294.0,295.0,0.00922,0.01192,Peebles Test Operation,Site 4D,2004-07-24,2004-07-25,Yes
1GE034,1,General Electric Company,CF34-3A,CF34-3A,LEC II,TF,6.25,19.7,41.01,C,,,NME,Yes,Out of production,,3.0,1.0,7.63,0.2,7.41,7.78,11.8,60.0,313.0,3.0,1.0,81.8,3.25,79.2,85.5,100.4,85.1,3350.0,3.0,1.0,27.8,1.61,26.0,29.0,32.2,1137.0,40.6,50.7,53.2,54.5,58.9,3.0,1.0,21.9,0.25,21.7,22.2,28.2,93.3,JP-5,1.92,1.92,20.3,20.3,167.0,0.0,,0,,101.6,102.9,275.5,281.1,0.0016,0.0039,General Electric Company,Lynn Cell 121,1991-03-21,1991-03-23,
01P05GE189,5,General Electric Company,CF34-3B,CF34-3B,SAC,TF,6.25,19.3,41.01,C,,,NME,Yes,,,3.0,1.0,8.9,,,,13.7,69.9,366.0,3.0,1.0,89.7,,,,110.1,93.3,3683.0,3.0,1.0,26.3,,,,30.5,1078.0,38.8,48.5,50.9,52.1,56.4,3.0,1.0,18.3,,,,23.6,78.1,Jet A,1.92,1.92,20.3,20.3,164.0,0.0,,0,,101.6,102.9,275.5,281.1,0.0016,0.0039,General Electric Company,Lynn Cell 121,1991-03-21,1991-03-25,
5GE083,5,General Electric Company,CF34-8C1,CF34-8C1,,TF,5.13,23.03,56.36,C,,,NME,Yes,Out of production,,3.0,1.0,0.2,0.0,0.2,0.2,0.3,1.5,13.0,3.0,1.0,51.3,1.04,50.1,52.0,63.0,53.4,2845.0,3.0,1.0,37.2,0.74,36.6,38.0,43.1,2120.0,50.1,62.6,68.7,72.5,80.6,3.0,1.0,5.33,1.0,4.6,6.5,6.9,24.9,Jet A,1.93,1.93,16.87,16.87,239.0,0.0,,0,,96.87,97.62,287.0,296.4,0.0056,0.00656,Peebles Test Operation,"Peebles, Ohio",,1999-09-24,
6GE096,6,General Electric Company,CF34-8C1,CF34-8C1 Block 1,LEC,TF,5.13,22.15,56.36,C,,,NME,Yes,Out of production,,3.0,1.0,0.3,,0.3,0.4,0.5,2.6,20.0,3.0,1.0,42.8,,41.5,44.5,52.5,44.5,2406.0,3.0,1.0,35.2,,35.0,35.7,40.9,1956.0,48.5,60.6,71.3,70.3,78.4,3.0,1.0,5.2,,2.5,7.2,6.7,24.2,Jet A,1.937,1.937,18.0,18.0,239.0,0.0,,0,,97.1,98.1,284.0,292.0,0.0047,0.00727,Peebles Test Operation,"Peebles, Ohio",2002-01-27,2002-01-28,
01P08GE190,8,General Electric Company,CF34-8C5,CF34-8C5,LEC,TF,5.13,23.09,59.42,C,,,NME,Yes,,,3.0,1.0,0.31,,,,0.48,2.4,18.0,3.0,1.0,34.86,,,,42.8,36.3,2071.0,3.0,1.0,37.12,,,,43.0,2205.0,49.9,62.4,69.3,73.4,82.2,3.0,1.0,8.32,,,,10.71,39.2,Jet A,1.937,1.937,18.0,18.0,240.0,0.0,,0,,97.1,98.1,284.0,292.0,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,2002-01-27,2002-01-28,
01P08GE191,8,General Electric Company,CF34-8C5,CF34-8C5A1,LEC,TF,5.13,23.49,60.62,C,,,NME,Yes,,,3.0,1.0,0.3,,,,0.46,2.3,18.0,3.0,1.0,33.83,,,,41.5,35.2,2051.0,3.0,1.0,37.73,,,,43.7,2287.0,50.3,62.8,70.0,74.4,83.4,3.0,1.0,9.96,,,,12.81,47.2,Jet A,1.937,1.937,18.0,18.0,245.0,0.0,,0,,97.1,98.1,284.0,292.0,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,2002-01-27,2002-01-28,
01P08GE192,8,General Electric Company,CF34-8C5,CF34-8C5B1,LEC,TF,5.13,22.08,56.35,C,,,NME,Yes,,,3.0,1.0,0.36,,,,0.55,2.8,20.0,3.0,1.0,38.01,,,,46.7,39.5,2142.0,3.0,1.0,35.67,,,,41.3,2010.0,49.1,61.4,67.6,71.2,79.3,3.0,1.0,5.18,,,,6.67,24.1,Jet A,1.937,1.937,18.0,18.0,230.0,0.0,,0,,97.1,98.1,284.0,292.0,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,2002-01-27,2002-01-28,
01P08GE193,8,General Electric Company,CF34-8C5,CF34-8C5A2,LEC,TF,5.13,24.12,62.49,C,,,NME,Yes,,,3.0,1.0,0.29,,,,0.44,2.3,18.0,3.0,1.0,32.43,,,,39.8,33.7,2026.0,3.0,1.0,38.71,,,,44.9,2419.0,50.9,63.6,71.1,75.9,85.4,3.0,1.0,13.64,,,,17.55,65.2,Jet A,1.937,1.937,18.0,18.0,251.0,0.0,,0,,97.1,98.1,284.0,292.0,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,2002-01-27,2002-01-28,
01P08GE194,8,General Electric Company,CF34-8C5,CF34-8C5A3,LEC,TF,5.13,24.82,64.53,C,,,NME,Yes,,,3.0,1.0,0.27,,,,0.42,2.2,18.0,3.0,1.0,30.97,,,,38.0,32.2,1999.0,3.0,1.0,39.75,,,,46.1,2565.0,51.4,64.2,72.2,77.4,87.4,3.0,1.0,17.27,,,,22.23,83.3,Jet A,1.937,1.937,18.0,18.0,259.0,0.0,,0,,97.1,98.1,284.0,292.0,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,2002-01-27,2002-01-28,
01P08GE195,8,General Electric Company,CF34-8E2,CF34-8E2,LEC,TF,5.13,21.71,55.19,C,,,NME,Yes,Out of production,,3.0,1.0,0.38,,,,0.58,3.0,21.0,3.0,1.0,39.28,,,,48.2,40.9,2168.0,3.0,1.0,35.14,,,,40.7,1940.0,48.8,61.0,67.0,70.4,78.3,3.0,1.0,4.58,,,,5.89,21.2,Jet A,1.937,1.937,18.0,18.0,226.0,0.0,,0,,97.1,98.1,284.0,292.0,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,2002-01-27,2002-01-28,
01P08GE196,8,General Electric Company,CF34-8E2,CF34-8E2A1,LEC,TF,5.13,23.0,59.15,C,,,NME,Yes,Out of production,,3.0,1.0,0.31,,,,0.48,2.5,19.0,3.0,1.0,35.12,,,,43.1,36.5,2077.0,3.0,1.0,36.98,,,,42.9,2188.0,49.8,62.3,69.1,73.2,82.1,3.0,1.0,8.01,,,,10.31,37.7,Jet A,1.937,1.937,18.0,18.0,240.0,0.0,,0,,97.1,98.1,284.0,292.0,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,2002-01-27,2002-01-28,
01P08GE197,8,General Electric Company,CF34-8E5,CF34-8E5,LEC,TF,5.13,23.18,59.68,C,,,NME,Yes,,,3.0,1.0,0.31,,,,0.47,2.4,18.0,3.0,1.0,34.62,,,,42.5,36.0,2066.0,3.0,1.0,37.25,,,,43.2,2223.0,50.0,62.5,69.4,73.6,82.5,3.0,1.0,8.63,,,,11.11,40.7,Jet A,1.937,1.937,18.0,18.0,241.0,0.0,,0,,97.1,98.1,284.0,292.0,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,2002-01-27,2002-01-28,
01P08GE198,8,General Electric Company,CF34-8E5,CF34-8E5A1,LEC,TF,5.13,24.12,62.49,C,,,NME,Yes,,,3.0,1.0,0.29,,,,0.44,2.3,18.0,3.0,1.0,32.43,,,,39.8,33.7,2026.0,3.0,1.0,38.71,,,,44.9,2419.0,50.9,63.6,71.1,75.9,85.4,3.0,1.0,13.64,,,,17.55,65.2,Jet A,1.937,1.937,18.0,18.0,251.0,0.0,,0,,97.1,98.1,284.0,292.0,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,2002-01-27,2002-01-28,
01P08GE199,8,General Electric Company,CF34-8E5,CF34-8E5A2,LEC,TF,5.13,24.82,64.53,C,,,NME,Yes,Out of production,,3.0,1.0,0.27,,,,0.42,2.2,18.0,3.0,1.0,30.97,,,,38.0,32.2,1999.0,3.0,1.0,39.75,,,,46.1,2565.0,51.4,64.2,72.2,77.4,87.4,3.0,1.0,17.27,,,,22.23,83.3,Jet A,1.937,1.937,18.0,18.0,259.0,0.0,,0,,97.1,98.1,284.0,292.0,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,2002-01-27,2002-01-28,
01P08GE200,8,General Electric Company,CF34-8E6,CF34-8E6,LEC,TF,5.13,23.18,59.68,C,,,NME,Yes,Out of production,,3.0,1.0,0.31,,,,0.47,2.4,18.0,3.0,1.0,34.62,,,,42.5,36.0,2066.0,3.0,1.0,37.25,,,,43.2,2223.0,50.0,62.5,69.4,73.6,82.5,3.0,1.0,8.63,,,,11.11,40.7,Jet A,1.937,1.937,18.0,18.0,241.0,0.0,,0,,97.1,98.1,284.0,292.0,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,2002-01-27,2002-01-28,
01P08GE201,8,General Electric Company,CF34-8E6,CF34-8E6A1,LEC,TF,5.13,24.12,62.49,C,,,NME,Yes,Out of production,,3.0,1.0,0.29,,,,0.44,2.3,18.0,3.0,1.0,32.43,,,,39.8,33.7,2026.0,3.0,1.0,38.71,,,,44.9,2419.0,50.9,63.6,71.1,75.9,85.4,3.0,1.0,13.64,,,,17.55,65.2,Jet A,1.937,1.937,18.0,18.0,251.0,0.0,,0,,97.1,98.1,284.0,292.0,0.0047,0.00727,CF6 Eval Engineering,PTO Site 3B Peebles,2002-01-27,2002-01-28,
3GE067,3,General Electric Company,CF6-45 Low Emission Nozzle,CF6-45A,Low emissions fuel nozzle,TF,4.3,25.38,202.8,C,,,NME,Yes,Out of production,,3.0,1.0,3.88,0.14,3.76,4.04,6.0,30.6,780.0,3.0,1.0,34.43,0.56,33.9,34.38,42.3,35.8,6980.0,3.0,1.0,44.9,2.94,42.69,48.24,52.0,9105.0,57.3,71.6,87.2,99.1,119.2,3.0,1.0,12.52,1.79,10.68,14.0,16.1,82.6,Jet A,1.935,1.935,16.3,16.3,701.0,0.0,,0,,97.73,97.91,292.3,301.3,0.0127,0.0216,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",1987-07-28,1987-07-29,
1GE005,1,General Electric Company,CF6-45,CF6-45A2,,TF,4.3,25.9,202.8,PR,,,NME,Yes,Out of production,,6.0,6.0,39.7,3.8,,,44.2,225.3,8485.0,6.0,6.0,102.0,4.6,,,107.7,91.3,21798.0,6.0,6.0,54.3,0.5,,,56.5,10819.0,61.6,77.0,93.5,106.3,127.4,6.0,6.0,4.6,1.5,,,4.9,25.2,Jet A,1.92,1.92,17.1,17.1,765.0,0.0,,0,,98.3,100.4,270.0,296.0,0.0027,0.0103,Production Engine Test,Production Test Cells M34 & M35,1979-10-12,1979-12-05,
3GE068,3,General Electric Company,CF6-45 Low Emission Nozzle,CF6-45A2,Low emissions fuel nozzle,TF,4.3,25.38,202.8,C,,,NME,Yes,Out of production,,3.0,1.0,3.88,0.14,3.76,4.04,6.0,30.6,780.0,3.0,1.0,34.43,0.56,33.9,34.38,42.3,35.8,6980.0,3.0,1.0,44.9,2.94,42.69,48.24,52.0,9105.0,57.3,71.6,87.2,99.1,119.2,3.0,1.0,12.52,1.79,10.68,14.0,16.1,82.6,Jet A,1.935,1.935,16.3,16.3,701.0,0.0,,0,,97.73,97.91,292.3,301.3,0.0127,0.0216,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",1987-07-28,1987-07-29,
3GE069,3,General Electric Company,,CF6-50A,Low emissions fuel nozzle,TF,4.3,26.88,215.3,C,,,NME,Yes,Out of production,,3.0,1.0,3.66,0.14,3.53,3.81,5.6,28.6,785.0,3.0,1.0,32.16,0.5,31.72,32.71,39.5,33.5,6920.0,3.0,1.0,47.86,2.96,45.72,51.24,55.5,10286.0,59.2,74.0,89.5,101.7,121.4,3.0,1.0,12.52,1.79,10.68,14.0,16.1,83.9,Jet A,1.935,1.935,16.3,16.3,731.0,0.0,,0,,97.73,97.91,292.3,301.3,0.0127,0.0216,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",1987-07-28,1987-07-29,
1GE006,1,General Electric Company,CF6-50,CF6-50C,,TF,4.3,28.8,224.2,PR,,,NME,Yes,Out of production,,6.0,6.0,35.2,3.8,,,39.2,199.8,7998.0,6.0,6.0,95.1,4.6,,,100.5,85.1,21583.0,6.0,6.0,60.2,0.5,,,62.7,13436.0,64.2,80.3,96.3,109.4,129.5,6.0,6.0,4.5,1.5,,,4.8,25.3,Jet A,1.92,1.92,17.1,17.1,838.0,0.0,,0,,98.3,100.4,270.0,296.0,0.0027,0.0103,Production Engine Test,Production Test Cells M34 & M35,1979-10-12,1979-12-05,
3GE070,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C,Low emissions fuel nozzle,TF,4.3,27.76,224.2,C,,,NME,Yes,Out of production,,3.0,1.0,3.47,0.09,3.38,3.56,5.3,27.0,784.0,3.0,1.0,30.73,0.48,30.32,31.25,37.7,31.9,6883.0,3.0,1.0,49.59,2.93,47.66,52.96,57.5,11116.0,60.2,75.2,90.7,103.0,122.4,3.0,1.0,12.52,1.79,10.68,14.0,16.1,84.9,Jet A,1.935,1.935,16.3,16.3,751.0,0.0,,0,,97.73,97.91,292.3,301.3,0.0127,0.0216,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",1987-07-28,1987-07-29,
3GE073,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C1,Low emissions fuel nozzle,TF,4.3,28.44,230.4,C,,,NME,Yes,Out of production,,3.0,1.0,3.42,0.15,3.28,3.58,5.3,27.0,788.0,3.0,1.0,29.8,0.44,29.42,30.28,36.6,31.0,6863.0,3.0,1.0,51.58,2.8,49.71,54.8,59.8,11884.0,61.7,77.2,92.7,105.3,124.8,3.0,1.0,12.52,1.79,10.68,14.0,16.1,85.5,Jet A,1.935,1.935,16.3,16.3,769.0,0.0,,0,,97.73,97.91,292.3,301.3,0.0127,0.0216,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",1987-07-28,1987-07-29,
1GE007,1,General Electric Company,CF6-50,CF6-50C2,,TF,4.3,29.8,230.4,PR,,,NME,Yes,Out of production,,6.0,6.0,33.5,3.8,,,37.3,190.1,7715.0,6.0,6.0,93.7,4.6,,,99.0,83.9,21591.0,6.0,6.0,61.8,0.5,,,64.3,14247.0,64.6,80.7,96.5,109.7,129.0,6.0,6.0,4.5,1.5,,,4.8,25.5,Jet A,1.92,1.92,17.1,17.1,859.0,0.0,,0,,98.3,100.4,270.0,296.0,0.0027,0.0103,Production Engine Test,Production Test Cells M34 & M35,1979-10-12,1979-12-05,
3GE074,3,General Electric Company,CF6-50 Low Emission Nozzle,CF6-50C2,Low emissions fuel nozzle,TF,4.3,28.44,230.4,C,,,NME,Yes,Out of production,,3.0,1.0,3.42,0.15,3.28,3.58,5.3,27.0,788.0,3.0,1.0,29.8,0.44,29.42,30.28,36.6,31.0,6863.0,3.0,1.0,51.58,2.8,49.71,54.8,59.8,11884.0,61.7,77.2,92.7,105.3,124.8,3.0,1.0,12.52,1.79,10.68,14.0,16.1,85.5,Jet A,1.935,1.935,16.3,16.3,769.0,0.0,,0,,97.73,97.91,292.3,301.3,0.0127,0.0216,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",1987-07-28,1987-07-29,
3GE078,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C2B,Low emissions fuel nozzle,TF,4.3,29.06,236.7,C,,,NME,Yes,Out of production,,3.0,1.0,3.33,0.15,3.19,3.48,5.1,26.0,786.0,3.0,1.0,28.88,0.407,28.5,29.31,35.4,30.0,6823.0,3.0,1.0,52.87,2.73,51.06,56.1,61.3,12482.0,62.5,78.1,93.6,106.4,125.6,3.0,1.0,12.52,1.79,10.68,14.0,16.1,86.1,Jet A,1.935,1.935,16.3,16.3,779.0,0.0,,0,,97.73,97.91,292.3,301.3,0.0127,0.0216,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",1987-07-28,1987-07-29,
1GE008,1,General Electric Company,CF6-50,CF6-50C2R,,TF,4.3,28.8,224.2,PR,,,NME,Yes,Out of production,,6.0,6.0,35.2,3.8,,,39.2,199.8,7998.0,6.0,6.0,95.1,4.6,,,100.5,85.1,21583.0,6.0,6.0,60.2,0.5,,,62.7,13436.0,64.2,80.3,96.3,109.4,129.5,6.0,6.0,4.5,1.5,,,4.8,25.3,Jet A,1.92,1.92,17.1,17.1,838.0,0.0,,0,,98.3,100.4,270.0,296.0,0.0027,0.0103,Production Engine Test,Production Test Cells M34 & M35,1979-10-12,1979-12-05,
3GE072,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C2R,Low emissions fuel nozzle,TF,4.3,27.76,224.2,C,,,NME,Yes,Out of production,,3.0,1.0,3.47,0.09,3.38,3.56,5.3,27.0,784.0,3.0,1.0,30.73,0.48,30.32,31.25,37.7,31.9,6883.0,3.0,1.0,49.59,2.93,47.66,52.96,57.5,11116.0,60.2,75.2,90.7,103.0,122.4,3.0,1.0,12.52,1.79,10.68,14.0,16.1,84.9,Jet A,1.935,1.935,16.3,16.3,751.0,0.0,,0,,97.73,97.91,292.3,301.3,0.0127,0.0216,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",1987-07-28,1987-07-29,
3GE071,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50CA,Low emissions fuel nozzle,TF,4.3,27.76,224.2,C,,,NME,Yes,Out of production,,3.0,1.0,3.47,0.09,3.38,3.56,5.3,27.0,784.0,3.0,1.0,30.73,0.48,30.32,31.25,37.7,31.9,6883.0,3.0,1.0,49.59,2.93,47.66,52.96,57.5,11116.0,60.2,75.2,90.7,103.0,122.4,3.0,1.0,12.52,1.79,10.68,14.0,16.1,84.9,Jet A,1.935,1.935,16.3,16.3,751.0,0.0,,0,,97.73,97.91,292.3,301.3,0.0127,0.0216,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",1987-07-28,1987-07-29,
3GE075,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E,Low emissions fuel nozzle,TF,4.3,28.44,230.4,C,,,NME,Yes,Out of production,,3.0,1.0,3.42,0.15,3.28,3.58,5.3,27.0,788.0,3.0,1.0,29.8,0.44,29.42,30.28,36.6,31.0,6863.0,3.0,1.0,51.58,2.8,49.71,54.8,59.8,11884.0,61.7,77.2,92.7,105.3,124.8,3.0,1.0,12.52,1.79,10.68,14.0,16.1,85.5,Jet A,1.935,1.935,16.3,16.3,769.0,0.0,,0,,97.73,97.91,292.3,301.3,0.0127,0.0216,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",1987-07-28,1987-07-29,
3GE076,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E1,Low emissions fuel nozzle,TF,4.3,28.44,230.4,C,,,NME,Yes,Out of production,,3.0,1.0,3.42,0.15,3.28,3.58,5.3,27.0,788.0,3.0,1.0,29.8,0.44,29.42,30.28,36.6,31.0,6863.0,3.0,1.0,51.58,2.8,49.71,54.8,59.8,11884.0,61.7,77.2,92.7,105.3,124.8,3.0,1.0,12.52,1.79,10.68,14.0,16.1,85.5,Jet A,1.935,1.935,16.3,16.3,769.0,0.0,,0,,97.73,97.91,292.3,301.3,0.0127,0.0216,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",1987-07-28,1987-07-29,
1GE009,1,General Electric Company,CF6-50,CF6-50E2,,TF,4.3,29.8,230.4,PR,,,NME,Yes,Out of production,,6.0,6.0,33.5,3.8,,,37.3,190.1,7715.0,6.0,6.0,93.7,4.6,,,99.0,83.9,21591.0,6.0,6.0,61.8,0.5,,,64.3,14247.0,64.6,80.7,96.5,109.7,129.0,6.0,6.0,4.5,1.5,,,4.8,25.5,Jet A,1.92,1.92,17.1,17.1,859.0,0.0,,0,,98.3,100.4,270.0,296.0,0.0027,0.0103,Production Engine Test,Production Test Cells M34 & M35,1979-10-12,1979-12-05,
3GE077,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E2,Low emissions fuel nozzle,TF,4.3,28.44,230.4,C,,,NME,Yes,Out of production,,3.0,1.0,3.42,0.15,3.28,3.58,5.3,27.0,788.0,3.0,1.0,29.8,0.44,29.42,30.28,36.6,31.0,6863.0,3.0,1.0,51.58,2.8,49.71,54.8,59.8,11884.0,61.7,77.2,92.7,105.3,124.8,3.0,1.0,12.52,1.79,10.68,14.0,16.1,85.5,Jet A,1.935,1.935,16.3,16.3,769.0,0.0,,0,,97.73,97.91,292.3,301.3,0.0127,0.0216,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",1987-07-28,1987-07-29,
3GE079,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E2B,Low emissions fuel nozzle,TF,4.3,29.06,236.7,C,,,NME,Yes,Out of production,,3.0,1.0,3.33,0.15,3.19,3.48,5.1,26.0,786.0,3.0,1.0,28.88,0.407,28.5,29.31,35.4,30.0,6823.0,3.0,1.0,52.87,2.73,51.06,56.1,61.3,12482.0,62.5,78.1,93.6,106.4,125.6,3.0,1.0,12.52,1.79,10.68,14.0,16.1,86.1,Jet A,1.935,1.935,16.3,16.3,779.0,0.0,,0,,97.73,97.91,292.3,301.3,0.0127,0.0216,GE Development/Production Test Operation,"Site IVD, Peebles, Ohio",1987-07-28,1987-07-29,
