uid,gsdb,manufacturer,engine,model,combustor,engine_type,bpr,opr,rated_thrust,data_status,data_superseded,superseded_uid,test_engine,icao_compliant_data,engine_status,engine_status_date,hc_number_tests,hc_number_engines,hc_dp_foo_average,hc_dp_foo_sigma,hc_dp_foo_min,hc_dp_foo_max,hc_characteristic,hc_margin,hc_total_mass,eico_number_tests,eico_number_engines,co_dp_foo_average,co_dp_foo_sigma,co_dp_foo_min,co_dp_foo_max,co_characteristic,co_margin,co_total_mass,nox_number_tests,nox_number_engines,nox_dp_foo_average,nox_dp_foo_sigma,nox_dp_foo_min,nox_dp_foo_max,nox_characteristic,nox_total_mass,nox_original_margin,nox_caep2_margin,nox_caep4_margin,nox_caep6_margin,nox_caep8_margin,sn_number_tests,sn_number_engines,sn_max,sn_sigma,sn_range_min,sn_range_max,sn_characteristic,sn_margin,fuel_specification,fuel_hc_ratio_min,fuel_hc_ratio_max,fuel_aromatic_min,fuel_aromatic_max,fuel_lto_cycle,loads_extraction,loads_extraction_power_setting,bleed_percentage,bleed_percentage_power_setting,ambient_pressure_min,ambient_pressure_max,ambient_temperature_min,ambient_temperature_max,ambient_humidity_min,ambient_humidity_max,test_organization,test_location,initial_test_date,final_test_date,fuel_venting_compliant
4BR007,4,Rolls-Royce Deutschland,BR715 improved injector,BR715C1-30,Improved fuel injector,MTF,4.54,32.15,95.33,C,,,DTEPS,Yes,Out of production,,3.0,1.0,0.18,,0.02,0.34,0.3,1.4,18.0,3.0,1.0,34.04,,33.51,34.63,41.8,35.4,3236.0,3.0,1.0,48.13,,46.96,49.29,55.8,4588.0,53.5,66.9,78.2,88.2,102.5,3.0,1.0,4.86,,4.62,5.28,6.3,26.1,AVTUR,1.93,1.93,16.6,16.6,377.0,0.0,,0,,100.9,101.3,294.4,297.2,0.0072,0.0075,BMW Rolls-Royce GmbH,Dahlewitz,1999-06-29,,
01P04BR013,4,Rolls-Royce Deutschland,BR710,BR710A2-20,,MTF,4.19,24.16,65.61,C,,,DTEPS,Yes,,,3.0,1.0,2.44,,2.19,2.7,3.8,19.2,160.0,3.0,1.0,64.82,,64.31,65.59,79.6,67.4,4239.0,3.0,1.0,42.49,,41.81,42.91,49.3,2784.0,55.8,69.7,78.7,84.6,96.0,3.0,1.0,13.96,,12.6,15.15,18.0,67.6,AVTUR,1.89,1.92,16.4,18.0,299.0,0.0,,0,,100.9,101.2,282.9,286.7,0.0064,0.0087,BMW Rolls-Royce GmbH,Dahlewitz,1996-10-19,1996-10-20,
01P06BR014,6,Rolls-Royce Deutschland,BR710,BR710C4-11,Annular,MTF,4.05,24.95,68.77,C,,,DTEPS,Yes,,,3.0,1.0,4.36,,4.19,4.47,6.7,34.2,301.0,3.0,1.0,64.37,,63.78,64.19,79.0,67.0,4449.0,3.0,1.0,41.41,,40.63,41.9,48.0,2850.0,53.4,66.7,76.0,82.2,93.7,3.0,1.0,14.34,,13.08,14.37,18.46,70.4,AVTUR,1.89,1.89,16.4,18.0,294.0,0.0,,0,,100.9,101.2,282.9,286.7,0.0064,0.0087,BMW Rolls-Royce GmbH,Dahlewitz,1996-10-19,1996-10-20,
01P20BR015,20,Rolls-Royce Deutschland,PEARL 15,BR710D5-21,Phase5 Tiled,MTF,4.62,33.14,68.43,C,,,DTEPS,Yes,,,5.0,3.0,3.87,2.42,1.8,6.5,4.52,23.05,265.0,5.0,3.0,66.23,11.76,54.9,78.4,71.64,60.71,4533.0,5.0,3.0,45.04,0.61,44.4,45.6,47.71,3082.0,44.89,56.11,61.84,66.47,73.87,5.0,3.0,3.94,1.39,2.4,5.0,4.33,16.5,,1.938,1.938,15.36,15.36,275.0,0.0,,0,,100.4,102.0,279.9,287.8,0.00539,0.00777,Rolls-Royce Deutschland,Dahlewitz,2017-03-29,2018-11-08,
01P11BR016,11,Rolls-Royce Deutschland,BR725,BR725A1-12,Z-ring,MTF,4.35,26.16,75.7,C,,,DTEPS,Yes,,,3.0,1.0,5.25,0.574,4.6,5.6,8.1,41.3,398.0,3.0,1.0,77.9,1.645,76.1,79.2,95.7,81.1,5899.0,3.0,1.0,33.9,2.525,31.2,36.2,39.3,2565.0,42.6,53.2,61.7,67.9,78.3,3.0,1.0,4.47,0.348,4.3,4.9,5.8,22.5,Def. Stan. 91-92,1.94,1.94,18.0,18.0,304.578,0.0,,0,,100.5,101.0,294.7,297.9,0.0076,0.00815,Rolls-Royce Deutschland,Dahlewitz,2008-08-06,2008-08-06,
1CM001,1,CFM International,CFM56-2,CFM56-2A series,,TF,6.0,25.2,106.76,C,,,NME,Yes,Out of production,,3.0,1.0,2.26,0.41,1.82,2.63,3.5,17.8,242.0,3.0,1.0,48.5,2.5,47.0,51.4,59.5,50.5,5176.0,3.0,1.0,42.8,0.8,42.3,43.7,49.6,4571.0,54.9,68.6,83.6,95.0,114.4,3.0,1.0,7.9,0.6,7.3,8.5,10.2,43.7,Jet A,1.93,1.93,16.0,16.0,446.0,0.0,,0,,95.98,97.49,279.0,286.0,0.002,0.009,CFM56 Evaluation Engineering,Peebles Site IVD,1983-11-11,1983-11-14,
1CM002,1,CFM International,CFM56-2,CFM56-2B-1,,TF,6.0,23.5,97.86,C,,,NME,Yes,Out of production,,3.0,1.0,3.87,0.41,3.4,4.15,6.0,30.4,378.0,3.0,1.0,67.2,4.1,63.5,71.7,82.5,69.9,6578.0,3.0,1.0,39.9,0.6,39.4,40.5,46.3,3906.0,53.2,66.5,81.7,92.9,113.0,3.0,1.0,6.0,0.8,5.4,6.9,7.7,32.4,Jet A,1.93,1.93,16.0,16.0,424.0,0.0,,0,,95.98,97.49,279.0,286.0,0.002,0.009,CFM56 Evaluation Engineering,Peebles Site IVD,1983-11-11,1983-11-14,
1CM003,1,CFM International,CFM56-2,CFM56-2-C5,,TF,6.0,23.5,97.86,C,,,NME,Yes,Out of production,,3.0,1.0,3.87,0.41,3.4,4.15,6.0,30.4,378.0,3.0,1.0,67.2,4.1,63.5,71.7,82.5,69.9,6578.0,3.0,1.0,39.9,0.6,39.4,40.5,46.3,3906.0,53.2,66.5,81.7,92.9,113.0,3.0,1.0,6.0,0.8,5.4,6.9,7.7,32.4,Jet A,1.93,1.93,16.0,16.0,424.0,0.0,,0,,95.98,97.49,279.0,286.0,0.002,0.009,CFM56 Evaluation Engineering,Peebles Site IVD,1983-11-11,1983-11-14,
1CM004,1,CFM International,CFM56-3,CFM56-3-B1,,TF,5.1,22.44,89.41,R,,,NME,Yes,Out of production,,3.0,1.0,4.67,0.53,4.17,5.22,7.2,36.7,418.0,3.0,1.0,72.9,5.1,68.5,78.5,89.5,75.8,6517.0,3.0,1.0,40.3,0.8,39.6,41.2,46.7,3595.0,55.0,68.8,85.1,96.7,118.3,3.0,1.0,4.0,0.6,3.4,4.5,5.1,21.1,Jet A,1.93,1.93,16.0,16.0,392.0,0.0,,0,,95.98,97.49,279.0,286.0,0.002,0.009,CFM56 Evaluation Engineering,Peebles Site IVD,1983-11-11,1983-11-14,
1CM005,1,CFM International,CFM56-3,CFM56-3B-2,,TF,5.1,24.1,98.3,R,,,NME,Yes,Out of production,,3.0,1.0,3.44,0.37,3.01,3.67,5.3,27.0,337.0,3.0,1.0,61.0,3.8,57.6,65.1,74.9,63.5,5988.0,3.0,1.0,42.9,0.81,42.4,43.9,49.7,4213.0,56.4,70.5,86.4,98.2,118.9,3.0,1.0,6.0,0.8,5.4,6.9,7.7,32.5,Jet A,1.93,1.93,16.0,16.0,421.0,0.0,,0,,95.98,97.49,279.0,286.0,0.002,0.009,CFM56 Evaluation Engineering,Peebles Site IVD,1983-11-11,1983-11-14,
