uid,gsdb,manufacturer,engine,model,combustor,engine_type,thrust,einox,eico,eihc,smoke_number,fuel_flow
6AL014,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007A1P,Type 1,MTF,10.422,7.07,3.93,0.658,0.01,0.1126
6AL014,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007A1P,Type 1,MTF,2.4318000000000004,3.47,23.8,3.85,0.01,0.046
6AL015,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007A1P,Type 2,MTF,34.74,22.02,0.0,0.0,0.01,0.3806
6AL015,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007A1P,Type 2,MTF,29.529,19.16,0.0,0.0,0.01,0.3163
6AL015,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007A1P,Type 2,MTF,10.422,6.89,1.51,0.19,0.01,0.1126
6AL015,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007A1P,Type 2,MTF,2.4318000000000004,3.19,32.68,5.06,0.01,0.046
6AL017,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007A3,Type 1,MTF,33.0,18.52,0.83,0.233,1.0,0.3583
6AL017,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007A3,Type 1,MTF,28.05,15.79,1.03,0.27,0.01,0.2995
6AL017,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007A3,Type 1,MTF,9.9,6.83,4.22,0.69,0.01,0.1076
6AL017,6,Rolls-Royce Corporation,AE3007 Type-1,AE3007A3,Type 1,MTF,2.31,3.38,25.73,4.705,0.01,0.0448
6AL018,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007A3,Type 2,MTF,33.0,20.93,0.0,0.0,0.01,0.3583
6AL018,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007A3,Type 2,MTF,28.05,18.27,0.0,0.0,0.01,0.2995
6AL018,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007A3,Type 2,MTF,9.9,6.56,2.0,0.23,0.01,0.1076
6AL018,6,Rolls-Royce Corporation,AE3007 Type-2,AE3007A3,Type 2,MTF,2.31,3.18,34.86,5.65,0.01,0.0448
3AL001,3,Rolls-Royce Corporation,AE3007 Type-1,AE3007C,,MTF,28.6,16.92,0.97,0.29,1.0,0.28
3AL001,3,Rolls-Royce Corporation,AE3007 Type-1,AE3007C,,MTF,24.310000000000002,14.56,1.19,0.33,0.0,0.234
3AL001,3,Rolls-Royce Corporation,AE3007 Type-1,AE3007C,,MTF,8.58,6.63,4.5,0.83,0.0,0.091
