uid,gsdb,manufacturer,engine,model,combustor,engine_type,thrust,einox,eico,eihc,smoke_number,fuel_flow
1GE005,1,General Electric Company,CF6-45,CF6-45A2,,TF,14.196000000000002,3.3,66.0,26.0,4.6,0.2
3GE068,3,General Electric Company,CF6-45 Low Emission Nozzle,CF6-45A2,Low emissions fuel nozzle,TF,202.8,25.45,0.43,0.09,11.61,2.027
3GE068,3,General Electric Company,CF6-45 Low Emission Nozzle,CF6-45A2,Low emissions fuel nozzle,TF,172.38,21.61,0.54,0.14,11.98,1.663
3GE068,3,General Electric Company,CF6-45 Low Emission Nozzle,CF6-45A2,Low emissions fuel nozzle,TF,60.84,9.36,5.01,0.35,1.25,0.592
3GE068,3,General Electric Company,CF6-45 Low Emission Nozzle,CF6-45A2,Low emissions fuel nozzle,TF,14.196000000000002,3.4,24.04,2.72,1.4,0.163
3GE069,3,General Electric Company,,CF6-50A,Low emissions fuel nozzle,TF,215.3,27.17,0.43,0.15,11.53,2.168
3GE069,3,General Electric Company,,CF6-50A,Low emissions fuel nozzle,TF,183.005,23.27,0.49,0.14,12.03,1.787
3GE069,3,General Electric Company,,CF6-50A,Low emissions fuel nozzle,TF,64.59,9.72,4.35,0.31,1.49,0.625
3GE069,3,General Electric Company,,CF6-50A,Low emissions fuel nozzle,TF,15.071000000000002,3.4,24.04,2.72,1.4,0.163
1GE006,1,General Electric Company,CF6-50,CF6-50C,,TF,224.2,35.0,0.5,0.6,3.9,2.379
1GE006,1,General Electric Company,CF6-50,CF6-50C,,TF,190.57,29.0,0.5,0.7,2.6,1.915
1GE006,1,General Electric Company,CF6-50,CF6-50C,,TF,67.25999999999999,9.4,5.2,1.0,2.8,0.643
1GE006,1,General Electric Company,CF6-50,CF6-50C,,TF,15.694,3.5,62.3,23.0,4.5,0.212
3GE070,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C,Low emissions fuel nozzle,TF,224.2,28.03,0.44,0.14,11.41,2.281
3GE070,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C,Low emissions fuel nozzle,TF,190.57,24.3,0.46,0.14,11.83,1.875
3GE070,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C,Low emissions fuel nozzle,TF,67.25999999999999,10.09,3.99,0.29,1.61,0.641
3GE070,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C,Low emissions fuel nozzle,TF,15.694,3.4,24.04,2.72,1.4,0.163
3GE073,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C1,Low emissions fuel nozzle,TF,230.4,28.97,0.45,0.14,10.95,2.361
3GE073,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C1,Low emissions fuel nozzle,TF,195.84,25.5,0.45,0.15,11.72,1.94
3GE073,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C1,Low emissions fuel nozzle,TF,69.12,10.16,3.71,0.28,1.62,0.663
3GE073,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C1,Low emissions fuel nozzle,TF,16.128000000000004,3.4,24.04,2.72,1.4,0.163
1GE007,1,General Electric Company,CF6-50,CF6-50C2,,TF,230.4,36.3,0.5,0.6,4.1,2.487
1GE007,1,General Electric Company,CF6-50,CF6-50C2,,TF,195.84,29.7,0.5,0.7,2.7,1.975
1GE007,1,General Electric Company,CF6-50,CF6-50C2,,TF,69.12,9.5,4.3,1.0,2.7,0.66
1GE007,1,General Electric Company,CF6-50,CF6-50C2,,TF,16.128000000000004,3.6,61.8,21.8,4.5,0.215
3GE074,3,General Electric Company,CF6-50 Low Emission Nozzle,CF6-50C2,Low emissions fuel nozzle,TF,230.4,28.97,0.45,0.14,10.95,2.361
3GE074,3,General Electric Company,CF6-50 Low Emission Nozzle,CF6-50C2,Low emissions fuel nozzle,TF,195.84,25.5,0.45,0.15,11.72,1.94
3GE074,3,General Electric Company,CF6-50 Low Emission Nozzle,CF6-50C2,Low emissions fuel nozzle,TF,69.12,10.16,3.71,0.28,1.62,0.663
3GE074,3,General Electric Company,CF6-50 Low Emission Nozzle,CF6-50C2,Low emissions fuel nozzle,TF,16.128000000000004,3.4,24.04,2.72,1.4,0.163
3GE078,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C2B,Low emissions fuel nozzle,TF,236.7,29.59,0.46,0.13,11.17,2.41
3GE078,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C2B,Low emissions fuel nozzle,TF,201.195,26.34,0.44,0.15,11.62,1.997
3GE078,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C2B,Low emissions fuel nozzle,TF,71.00999999999999,10.49,3.42,0.26,1.58,0.667
3GE078,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C2B,Low emissions fuel nozzle,TF,16.569,3.4,24.04,2.72,1.4,0.163
1GE008,1,General Electric Company,CF6-50,CF6-50C2R,,TF,224.2,35.0,0.5,0.6,3.9,2.379
1GE008,1,General Electric Company,CF6-50,CF6-50C2R,,TF,190.57,29.0,0.5,0.7,2.6,1.915
1GE008,1,General Electric Company,CF6-50,CF6-50C2R,,TF,67.25999999999999,9.4,5.2,1.0,2.8,0.643
1GE008,1,General Electric Company,CF6-50,CF6-50C2R,,TF,15.694,3.5,62.3,23.0,4.5,0.212
3GE072,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C2R,Low emissions fuel nozzle,TF,224.2,28.03,0.44,0.14,11.41,2.281
3GE072,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C2R,Low emissions fuel nozzle,TF,190.57,24.3,0.46,0.14,11.83,1.875
3GE072,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C2R,Low emissions fuel nozzle,TF,67.25999999999999,10.09,3.99,0.29,1.61,0.641
3GE072,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50C2R,Low emissions fuel nozzle,TF,15.694,3.4,24.04,2.72,1.4,0.163
3GE071,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50CA,Low emissions fuel nozzle,TF,224.2,28.03,0.44,0.14,11.41,2.281
3GE071,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50CA,Low emissions fuel nozzle,TF,190.57,24.3,0.46,0.14,11.83,1.875
3GE071,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50CA,Low emissions fuel nozzle,TF,67.25999999999999,10.09,3.99,0.29,1.61,0.641
3GE071,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50CA,Low emissions fuel nozzle,TF,15.694,3.4,24.04,2.72,1.4,0.163
3GE075,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E,Low emissions fuel nozzle,TF,230.4,28.97,0.45,0.14,10.95,2.361
3GE075,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E,Low emissions fuel nozzle,TF,195.84,25.5,0.45,0.15,11.72,1.94
3GE075,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E,Low emissions fuel nozzle,TF,69.12,10.16,3.71,0.28,1.62,0.663
3GE075,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E,Low emissions fuel nozzle,TF,16.128000000000004,3.4,24.04,2.72,1.4,0.163
3GE076,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E1,Low emissions fuel nozzle,TF,230.4,28.97,0.45,0.14,10.95,2.361
3GE076,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E1,Low emissions fuel nozzle,TF,195.84,25.5,0.45,0.15,11.72,1.94
3GE076,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E1,Low emissions fuel nozzle,TF,69.12,10.16,3.71,0.28,1.62,0.663
3GE076,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E1,Low emissions fuel nozzle,TF,16.128000000000004,3.4,24.04,2.72,1.4,0.163
1GE009,1,General Electric Company,CF6-50,CF6-50E2,,TF,230.4,36.3,0.5,0.6,4.1,2.487
1GE009,1,General Electric Company,CF6-50,CF6-50E2,,TF,195.84,29.7,0.5,0.7,2.7,1.975
1GE009,1,General Electric Company,CF6-50,CF6-50E2,,TF,69.12,9.5,4.3,1.0,2.7,0.66
1GE009,1,General Electric Company,CF6-50,CF6-50E2,,TF,16.128000000000004,3.6,61.8,21.8,4.5,0.215
3GE077,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E2,Low emissions fuel nozzle,TF,230.4,28.97,0.45,0.14,10.95,2.361
3GE077,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E2,Low emissions fuel nozzle,TF,195.84,25.5,0.45,0.15,11.72,1.94
3GE077,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E2,Low emissions fuel nozzle,TF,69.12,10.16,3.71,0.28,1.62,0.663
3GE077,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E2,Low emissions fuel nozzle,TF,16.128000000000004,3.4,24.04,2.72,1.4,0.163
3GE079,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E2B,Low emissions fuel nozzle,TF,236.7,29.59,0.46,0.13,11.17,2.41
3GE079,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E2B,Low emissions fuel nozzle,TF,201.195,26.34,0.44,0.15,11.62,1.997
3GE079,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E2B,Low emissions fuel nozzle,TF,71.00999999999999,10.49,3.42,0.26,1.58,0.667
3GE079,3,General Electric Company,CF6-50 Low Emissions Nozzle,CF6-50E2B,Low emissions fuel nozzle,TF,16.569,3.4,24.04,2.72,1.4,0.163
1GE001,1,General Electric Company,CF6-6,CF6-6D,,TF,174.8,40.0,0.5,0.3,4.0,1.736
1GE001,1,General Electric Company,CF6-6,CF6-6D,,TF,148.58,32.6,0.5,0.3,3.0,1.431
1GE001,1,General Electric Company,CF6-6,CF6-6D,,TF,52.440000000000005,11.4,6.5,0.7,3.0,0.4839
1GE001,1,General Electric Company,CF6-6,CF6-6D,,TF,12.236000000000002,4.5,54.2,21.0,4.0,0.1728
1GE002,1,General Electric Company,CF6-6,CF6-6D1A,,TF,181.9,41.6,0.5,0.3,4.0,1.812
1GE002,1,General Electric Company,CF6-6,CF6-6D1A,,TF,154.615,33.9,0.5,0.3,3.0,1.502
1GE002,1,General Electric Company,CF6-6,CF6-6D1A,,TF,54.57,11.8,5.5,0.6,3.0,0.494
1GE002,1,General Electric Company,CF6-6,CF6-6D1A,,TF,12.733000000000002,4.6,52.0,19.9,4.0,0.176
1GE003,1,General Electric Company,CF6-6,CF6-6K,,TF,174.8,40.0,0.5,0.3,4.0,1.736
1GE003,1,General Electric Company,CF6-6,CF6-6K,,TF,148.58,32.6,0.5,0.3,3.0,1.431
1GE003,1,General Electric Company,CF6-6,CF6-6K,,TF,52.440000000000005,11.4,6.5,0.7,3.0,0.4839
1GE003,1,General Electric Company,CF6-6,CF6-6K,,TF,12.236000000000002,4.5,54.2,21.0,4.0,0.1728
1GE004,1,General Electric Company,CF6-6,CF6-6K2,,TF,181.9,41.6,0.5,0.3,4.0,1.812
1GE004,1,General Electric Company,CF6-6,CF6-6K2,,TF,154.615,33.9,0.5,0.3,3.0,1.502
1GE004,1,General Electric Company,CF6-6,CF6-6K2,,TF,54.57,11.8,5.5,0.6,3.0,0.494
1GE004,1,General Electric Company,CF6-6,CF6-6K2,,TF,12.733000000000002,4.6,52.0,19.9,4.0,0.176
1GE011,1,General Electric Company,CF6-80A,CF6-80A1,,TF,209.0,29.8,1.0,0.29,12.0,2.145
1GE011,1,General Electric Company,CF6-80A,CF6-80A1,,TF,177.65,25.6,1.1,0.29,10.0,1.795
1GE011,1,General Electric Company,CF6-80A,CF6-80A1,,TF,62.699999999999996,10.3,3.1,0.47,2.0,0.615
1GE011,1,General Electric Company,CF6-80A,CF6-80A1,,TF,14.63,3.4,28.2,6.29,2.0,0.15
1GE012,1,General Electric Company,CF6-80A,CF6-80A2,,TF,216.5,29.6,1.0,0.3,12.0,2.254
1GE012,1,General Electric Company,CF6-80A,CF6-80A2,,TF,184.025,26.6,1.1,0.37,10.0,1.885
1GE012,1,General Electric Company,CF6-80A,CF6-80A2,,TF,64.95,10.8,2.8,0.45,2.0,0.641
1GE012,1,General Electric Company,CF6-80A,CF6-80A2,,TF,15.155000000000001,3.4,28.2,6.28,2.0,0.15
1GE013,1,General Electric Company,CF6-80A,CF6-80A3,,TF,217.8,29.6,1.0,0.3,12.0,2.254
1GE013,1,General Electric Company,CF6-80A,CF6-80A3,,TF,185.13,26.6,1.1,0.37,10.0,1.885
1GE013,1,General Electric Company,CF6-80A,CF6-80A3,,TF,65.34,10.8,2.8,0.45,2.0,0.641
1GE013,1,General Electric Company,CF6-80A,CF6-80A3,,TF,15.246000000000002,3.4,28.2,6.28,2.0,0.15
1GE014,1,General Electric Company,CF6-80C2A,CF6-80C2A1,,TF,257.4,32.22,0.56,0.08,8.2,2.4
1GE014,1,General Electric Company,CF6-80C2A,CF6-80C2A1,,TF,218.78999999999996,24.85,0.54,0.09,4.9,1.953
1GE014,1,General Electric Company,CF6-80C2A,CF6-80C2A1,,TF,77.21999999999998,9.76,2.19,0.2,2.3,0.636
1GE014,1,General Electric Company,CF6-80C2A,CF6-80C2A1,,TF,18.018,3.99,42.24,9.19,3.0,0.199
2GE036,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A1,1862M39,TF,257.4,26.55,0.05,0.05,7.0,2.453
2GE036,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A1,1862M39,TF,218.78999999999996,20.45,0.04,0.05,4.7,1.989
2GE036,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A1,1862M39,TF,77.21999999999998,12.43,2.05,0.12,0.0,0.651
2GE036,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A1,1862M39,TF,18.018,4.68,19.76,1.59,0.0,0.201
1GE016,1,General Electric Company,CF6-80C2A,CF6-80C2A2,,TF,233.35,27.93,0.57,0.08,6.5,2.117
1GE016,1,General Electric Company,CF6-80C2A,CF6-80C2A2,,TF,198.3475,20.69,0.55,0.1,4.0,1.745
1GE016,1,General Electric Company,CF6-80C2A,CF6-80C2A2,,TF,70.005,9.44,2.94,0.23,2.3,0.58
1GE016,1,General Electric Company,CF6-80C2A,CF6-80C2A2,,TF,16.334500000000002,3.95,46.01,10.48,3.1,0.189
2GE037,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A2,1862M39,TF,233.35,22.35,0.04,0.05,5.8,2.152
2GE037,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A2,1862M39,TF,198.3475,18.37,0.05,0.05,3.2,1.771
2GE037,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A2,1862M39,TF,70.005,11.86,2.56,0.12,0.0,0.59
2GE037,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A2,1862M39,TF,16.334500000000002,4.49,21.97,1.9,0.0,0.192
1GE017,1,General Electric Company,CF6-80C2A,CF6-80C2A3,,TF,262.22,34.44,0.59,0.08,7.8,2.457
1GE017,1,General Electric Company,CF6-80C2A,CF6-80C2A3,,TF,222.88700000000003,25.45,0.57,0.1,5.1,2.003
1GE017,1,General Electric Company,CF6-80C2A,CF6-80C2A3,,TF,78.66600000000001,10.01,2.15,0.21,2.3,0.649
1GE017,1,General Electric Company,CF6-80C2A,CF6-80C2A3,,TF,18.355400000000003,3.96,42.18,9.21,3.0,0.202
1GE018,1,General Electric Company,CF6-80C2A,CF6-80C2A3,,TF,262.22,34.5,0.58,0.06,7.8,2.457
1GE018,1,General Electric Company,CF6-80C2A,CF6-80C2A3,,TF,222.88700000000003,25.46,0.56,0.08,5.1,2.003
1GE018,1,General Electric Company,CF6-80C2A,CF6-80C2A3,,TF,78.66600000000001,9.93,2.07,0.19,2.3,0.649
1GE018,1,General Electric Company,CF6-80C2A,CF6-80C2A3,,TF,18.355400000000003,3.92,41.51,8.94,3.0,0.202
2GE038,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A3,1862M39,TF,262.22,27.68,0.06,0.04,6.9,2.516
2GE038,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A3,1862M39,TF,222.88700000000003,21.05,0.04,0.05,5.0,2.041
2GE038,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A3,1862M39,TF,78.66600000000001,12.48,1.98,0.11,0.0,0.662
2GE038,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A3,1862M39,TF,18.355400000000003,4.72,19.32,1.54,0.0,0.203
1GE020,1,General Electric Company,CF6-80C2A,CF6-80C2A5,,TF,267.3,34.38,0.52,0.07,7.8,2.581
1GE020,1,General Electric Company,CF6-80C2A,CF6-80C2A5,,TF,227.205,22.86,0.52,0.08,5.4,2.082
1GE020,1,General Electric Company,CF6-80C2A,CF6-80C2A5,,TF,80.19,9.11,1.93,0.2,2.3,0.687
1GE020,1,General Electric Company,CF6-80C2A,CF6-80C2A5,,TF,18.711000000000002,3.79,41.65,8.99,3.0,0.207
2GE039,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A5,1862M39,TF,267.34,28.57,0.06,0.04,6.94,2.58
2GE039,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A5,1862M39,TF,227.23899999999998,21.69,0.04,0.05,5.4,2.096
2GE039,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A5,1862M39,TF,80.20199999999998,12.53,1.91,0.11,0.0,0.672
2GE039,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A5,1862M39,TF,18.7138,4.76,18.89,1.48,0.0,0.205
3GE056,3,General Electric Company,CF6-80C2A LEC,CF6-80C2A5F,1862M39,TF,271.88,28.11,0.05,0.05,7.4,2.63
3GE056,3,General Electric Company,CF6-80C2A LEC,CF6-80C2A5F,1862M39,TF,231.09799999999998,21.27,0.04,0.04,5.2,2.106
3GE056,3,General Electric Company,CF6-80C2A LEC,CF6-80C2A5F,1862M39,TF,81.564,12.64,1.92,0.11,0.0,0.691
3GE056,3,General Electric Company,CF6-80C2A LEC,CF6-80C2A5F,1862M39,TF,19.0316,4.9,16.96,1.18,0.0,0.22
1GE021,1,General Electric Company,CF6-80C2A,CF6-80C2A8,,TF,257.4,33.5,0.52,0.08,8.2,2.507
1GE021,1,General Electric Company,CF6-80C2A,CF6-80C2A8,,TF,218.78999999999996,22.0,0.52,0.09,4.9,1.953
1GE021,1,General Electric Company,CF6-80C2A,CF6-80C2A8,,TF,77.21999999999998,9.0,2.05,0.2,2.3,0.655
1GE021,1,General Electric Company,CF6-80C2A,CF6-80C2A8,,TF,18.018,3.7,42.3,9.2,3.0,0.205
2GE040,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A8,1862M39,TF,257.37,26.42,0.05,0.05,6.97,2.444
2GE040,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A8,1862M39,TF,218.7645,20.45,0.04,0.05,4.7,1.989
2GE040,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A8,1862M39,TF,77.211,12.43,2.05,0.12,0.0,0.651
2GE040,2,General Electric Company,CF6-80C2A LEC,CF6-80C2A8,1862M39,TF,18.015900000000002,4.68,19.76,1.59,0.0,0.201
1GE022,1,General Electric Company,CF6-80C2B,CF6-80C2B1,,TF,249.0,28.11,0.58,0.08,7.1,2.285
1GE022,1,General Electric Company,CF6-80C2B,CF6-80C2B1,,TF,211.65,21.26,0.55,0.09,4.5,1.873
1GE022,1,General Electric Company,CF6-80C2B,CF6-80C2B1,,TF,74.7,8.83,2.37,0.21,2.3,0.616
1GE022,1,General Electric Company,CF6-80C2B,CF6-80C2B1,,TF,17.430000000000003,3.73,43.22,9.46,3.0,0.196
2GE041,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B1,1862M39,TF,249.01,24.93,0.04,0.05,6.7,2.34
2GE041,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B1,1862M39,TF,211.65849999999998,19.68,0.04,0.05,4.2,1.922
2GE041,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B1,1862M39,TF,74.70299999999999,12.32,2.18,0.12,0.0,0.63
2GE041,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B1,1862M39,TF,17.4307,4.6,20.62,1.71,0.0,0.197
1GE024,1,General Electric Company,CF6-80C2B,CF6-80C2B1F,,TF,254.3,27.73,0.52,0.08,7.1,2.341
1GE024,1,General Electric Company,CF6-80C2B,CF6-80C2B1F,,TF,216.155,21.07,0.52,0.09,4.8,1.901
1GE024,1,General Electric Company,CF6-80C2B,CF6-80C2B1F,,TF,76.29,9.0,2.21,0.2,2.3,0.621
1GE024,1,General Electric Company,CF6-80C2B,CF6-80C2B1F,,TF,17.801000000000002,3.78,44.32,9.88,3.0,0.199
1GE025,1,General Electric Company,CF6-80C2B,CF6-80C2B2,,TF,231.1,23.89,0.57,0.08,5.8,2.131
1GE025,1,General Electric Company,CF6-80C2B,CF6-80C2B2,,TF,196.435,18.65,0.55,0.1,3.9,1.761
1GE025,1,General Electric Company,CF6-80C2B,CF6-80C2B2,,TF,69.33,8.77,2.65,0.22,2.4,0.577
1GE025,1,General Electric Company,CF6-80C2B,CF6-80C2B2,,TF,16.177,3.7,48.02,11.17,3.1,0.192
2GE042,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B2,1862M39,TF,231.08,22.02,0.04,0.05,5.6,2.124
2GE042,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B2,1862M39,TF,196.418,18.25,0.05,0.05,3.1,1.756
2GE042,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B2,1862M39,TF,69.324,11.79,2.61,0.12,0.0,0.585
2GE042,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B2,1862M39,TF,16.175600000000003,4.45,22.41,1.97,0.0,0.19
1GE026,1,General Electric Company,CF6-80C2B,CF6-80C2B2F,,TF,231.35,23.56,0.52,0.08,7.5,2.071
1GE026,1,General Electric Company,CF6-80C2B,CF6-80C2B2F,,TF,196.64749999999998,18.32,0.52,0.09,3.6,1.702
1GE026,1,General Electric Company,CF6-80C2B,CF6-80C2B2F,,TF,69.405,8.54,2.93,0.23,2.4,0.5585
1GE026,1,General Electric Company,CF6-80C2B,CF6-80C2B2F,,TF,16.1945,3.64,49.75,11.8,2.5,0.1852
2GE046,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B2F,1862M39,TF,231.35,21.55,0.04,0.05,5.7,2.148
2GE046,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B2F,1862M39,TF,196.64749999999998,18.09,0.06,0.05,3.1,1.777
2GE046,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B2F,1862M39,TF,69.405,11.8,2.64,0.12,0.0,0.593
2GE046,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B2F,1862M39,TF,16.1945,4.52,21.56,1.86,0.0,0.188
1GE027,1,General Electric Company,CF6-80C2B,CF6-80C2B4,,TF,254.35,29.2,0.56,0.08,7.2,2.43
1GE027,1,General Electric Company,CF6-80C2B,CF6-80C2B4,,TF,216.1975,21.8,0.54,0.09,4.8,1.982
1GE027,1,General Electric Company,CF6-80C2B,CF6-80C2B4,,TF,76.30499999999999,8.9,2.33,0.21,2.3,0.65
1GE027,1,General Electric Company,CF6-80C2B,CF6-80C2B4,,TF,17.8045,3.67,43.91,9.74,3.0,0.199
2GE043,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B4,1862M39,TF,254.35,25.93,0.05,0.05,6.9,2.409
2GE043,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B4,1862M39,TF,216.1975,20.17,0.04,0.05,4.5,1.965
2GE043,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B4,1862M39,TF,76.30499999999999,12.37,2.12,0.12,0.0,0.641
2GE043,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B4,1862M39,TF,17.8045,4.68,19.76,1.59,0.0,0.201
1GE028,1,General Electric Company,CF6-80C2B,CF6-80C2B4F,,TF,254.79,28.72,0.52,0.08,7.3,2.359
1GE028,1,General Electric Company,CF6-80C2B,CF6-80C2B4F,,TF,216.5715,21.32,0.52,0.09,4.7,1.907
1GE028,1,General Electric Company,CF6-80C2B,CF6-80C2B4F,,TF,76.437,8.88,2.21,0.2,2.3,0.6138
1GE028,1,General Electric Company,CF6-80C2B,CF6-80C2B4F,,TF,17.8353,3.71,45.74,10.37,2.3,0.1926
2GE047,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B4F,1862M39,TF,254.79,25.08,0.04,0.05,6.9,2.432
2GE047,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B4F,1862M39,TF,216.5715,19.72,0.04,0.05,4.5,1.983
2GE047,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B4F,1862M39,TF,76.437,12.47,2.13,0.11,0.0,0.65
2GE047,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B4F,1862M39,TF,17.8353,4.73,19.23,1.54,0.0,0.199
1GE029,1,General Electric Company,CF6-80C2B,CF6-80C2B6,,TF,267.2,30.81,0.52,0.07,7.8,2.579
1GE029,1,General Electric Company,CF6-80C2B,CF6-80C2B6,,TF,227.11999999999998,22.94,0.52,0.08,5.4,2.081
1GE029,1,General Electric Company,CF6-80C2B,CF6-80C2B6,,TF,80.16,9.11,1.93,0.2,2.3,0.686
1GE029,1,General Electric Company,CF6-80C2B,CF6-80C2B6,,TF,18.704,3.79,41.66,8.99,3.0,0.207
2GE044,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B6,1862M39,TF,267.2,28.57,0.06,0.04,6.9,2.58
2GE044,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B6,1862M39,TF,227.11999999999998,21.69,0.04,0.05,5.4,2.096
2GE044,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B6,1862M39,TF,80.16,12.53,1.91,0.11,0.0,0.672
2GE044,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B6,1862M39,TF,18.704,4.76,18.89,1.48,0.0,0.205
1GE030,1,General Electric Company,CF6-80C2B,CF6-80C2B6F,,TF,267.03,32.16,0.52,0.07,8.2,2.54
1GE030,1,General Electric Company,CF6-80C2B,CF6-80C2B6F,,TF,226.97549999999998,23.09,0.52,0.08,5.4,2.02
1GE030,1,General Electric Company,CF6-80C2B,CF6-80C2B6F,,TF,80.109,9.06,1.92,0.19,2.3,0.643
1GE030,1,General Electric Company,CF6-80C2B,CF6-80C2B6F,,TF,18.6921,3.75,43.89,9.74,3.4,0.1963
2GE054,2,General Electric Company,CF6-80C2B,CF6-80C2B7F,,TF,267.03,32.16,0.52,0.07,8.2,2.54
2GE054,2,General Electric Company,CF6-80C2B,CF6-80C2B7F,,TF,226.97549999999998,23.09,0.52,0.08,5.4,2.02
2GE054,2,General Electric Company,CF6-80C2B,CF6-80C2B7F,,TF,80.109,9.06,1.92,0.19,2.3,0.64
2GE054,2,General Electric Company,CF6-80C2B,CF6-80C2B7F,,TF,18.6921,3.75,43.89,9.74,3.4,0.2
2GE055,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B7F,1862M39,TF,267.03,27.38,0.05,0.05,6.9,2.594
2GE055,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B7F,1862M39,TF,226.97549999999998,21.05,0.04,0.05,5.3,2.104
2GE055,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B7F,1862M39,TF,80.109,12.63,1.93,0.11,0.0,0.682
2GE055,2,General Electric Company,CF6-80C2B LEC,CF6-80C2B7F,1862M39,TF,18.6921,4.81,18.42,1.43,0.0,0.203
8GE101,8,General Electric Company,CF6-80C2B LEC,CF6-80C2B8F,1862M39,TF,267.0,26.85,0.03,0.04,5.84,2.583
8GE101,8,General Electric Company,CF6-80C2B LEC,CF6-80C2B8F,1862M39,TF,226.95,20.84,0.02,0.04,4.21,2.106
